Name,rank,region,age,height,weight,run400,run5k,candj,snatch,deadlift,backsq,pullups,train,experience,schedule,,,,
BrianKunitzer,13,South West,35,69,188,57,1218,305,255,475,425,50,I workout mostly at a CrossFit Affiliate|I write my own programming|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,I do multiple workouts in a day 2x a week|I strictly schedule my rest days|I typically rest 4 or more days per month|,,,,
AllenDuarte,6,South East,51,67,165,68,1363,245,200,430,350,55,I workout mostly at a CrossFit Affiliate|I write my own programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 2x a week|I strictly schedule my rest days|I typically rest 4 or more days per month|,,,,
TonyTurski,14,Southern California,53,70,161,65,1252,225,170,415,365,35,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 2x a week|I typically rest 4 or more days per month|,,,,
GregSmiley,19,Southern California,47,67,165,65,1232,265,195,380,345,45,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 2x a week|I typically rest 4 or more days per month|,,,,
WilliamWalker,10,Central East,46,69,172,57,1185,240,180,405,335,50,I workout mostly at a CrossFit Affiliate|I write my own programming|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I train other people|,I do multiple workouts in a day 2x a week|I typically rest 4 or more days per month|,,,,
DavidCasalena,11,North Central,47,69,209,63,1427,270,220,495,375,38,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|,I began CrossFit with a coach (e.g. at an affiliate)|,I do multiple workouts in a day 2x a week|I typically rest 4 or more days per month|,,,,
KeithChrisman,5,North West,41,72,205,67,1208,305,232,482,425,67,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|,I began CrossFit with a coach (e.g. at an affiliate)|,I do multiple workouts in a day 2x a week|I typically rest 4 or more days per month|,,,,
RobertBoshoven,6,Central East,52,69,190,60,1184,235,165,475,365,40,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|,I do multiple workouts in a day 2x a week|I typically rest 4 or more days per month|,,,,
KenIdler,5,North West,52,72,195,76,1267,235,190,425,375,25,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 2x a week|I typically rest 4 or more days per month|,,,,
PeterKazanas,8,South East,39,70,182,74,1342,300,225,500,405,51,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 2x a week|I typically rest 4 or more days per month|,,,,
SpencerWhiteley,15,United Kingdom,36,68,171,60,1194,290,249,462,407,40,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 2x a week|I typically rest fewer than 4 days per month|,,,,
SeanMalloy,19,North Central,39,74,205,61,1219,295,225,555,385,60,I workout mostly at a CrossFit Affiliate|I write my own programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I train other people|,I do multiple workouts in a day 2x a week|I typically rest fewer than 4 days per month|,,,,
JamesHobart,2,Central East,28,68,185,64,1199,325,260,505,425,60,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|,I do multiple workouts in a day 3+ times a week|,,,,
JarrodNewman,12,North West,45,71,184,65,1206,235,205,450,345,30,"I workout mostly at home, work, or a traditional gym|",I began CrossFit by trying it alone (without a coach)|,I do multiple workouts in a day 3+ times a week|,,,,
BrianBeck,17,Australia,43,75,187,62,1191,265,209,441,353,45,I workout mostly at a CrossFit Affiliate|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 3+ times a week|,,,,
JerryHill,1,Mid Atlantic,48,67,165,64,1237,255,200,455,385,60,I workout mostly at a CrossFit Affiliate|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I train other people|,I do multiple workouts in a day 3+ times a week|,,,,
GabrielRomero,18,South West,41,65,155,63,1238,250,195,445,375,58,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|,I do multiple workouts in a day 3+ times a week|,,,,
LandonBrazell,17,South East,32,72,200,58,1166,345,235,515,455,65,I workout mostly at a CrossFit Affiliate|I write my own programming|I record my workouts|,I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 3+ times a week|,,,,
JustinLaSala,2,North East,40,67,185,63,1299,265,210,415,385,20,I workout mostly at a CrossFit Affiliate|I write my own programming|I record my workouts|,I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,I do multiple workouts in a day 3+ times a week|,,,,
DariusBoockholdt,7,North West,51,69,179,70,1385,240,185,425,375,40,"I workout mostly at home, work, or a traditional gym|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|",I began CrossFit by trying it alone (without a coach)|,I do multiple workouts in a day 3+ times a week|I strictly schedule my rest days|,,,,
BrianMontgomery,19,South East,51,69,178,66,1175,255,165,425,330,55,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 3+ times a week|I strictly schedule my rest days|,,,,
JeffGoebel,4,Central East,50,69,167,60,1210,245,185,420,390,40,"I workout mostly at a CrossFit Affiliate|I workout mostly at home, work, or a traditional gym|",I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 3+ times a week|I strictly schedule my rest days|,,,,
DennisCheatham,20,Central East,47,70,195,86,1292,265,195,500,415,45,I workout mostly at a CrossFit Affiliate|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 3+ times a week|I strictly schedule my rest days|,,,,
JerryWilson,17,Central East,52,71,195,90,1370,225,185,435,355,39,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 3+ times a week|I strictly schedule my rest days|,,,,
TravisStoetzel,7,North Central,32,67,180,58,1380,325,245,500,425,63,I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I train other people|,I do multiple workouts in a day 3+ times a week|I strictly schedule my rest days|,,,,
ShawnRamirez,1,South East,40,72,200,82,1056,305,235,515,425,60,I workout mostly at a CrossFit Affiliate|I record my workouts|,I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 3+ times a week|I strictly schedule my rest days|,,,,
BenAlderman,9,Northern California,32,70,210,59,1169,355,293,515,440,60,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I have completed the CrossFit Level 1 certificate course|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 3+ times a week|I strictly schedule my rest days|,,,,
EamonCoyne,17,North East,34,67,175,63,1230,320,245,505,435,107,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I incorporate CrossFit.com workouts|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 3+ times a week|I strictly schedule my rest days|I typically rest 4 or more days per month|,,,,
TimDymmel,7,Northern California,39,70,190,60,1191,303,245,447,415,35,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I incorporate CrossFit.com workouts|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 3+ times a week|I strictly schedule my rest days|I typically rest 4 or more days per month|,,,,
DavidSantaCruzBorgstrand,9,Europe,32,71,194,63,1152,320,243,507,441,56,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I incorporate CrossFit.com workouts|I write my own programming|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 3+ times a week|I strictly schedule my rest days|I typically rest 4 or more days per month|,,,,
DavidCornthwaite,14,North Central,33,68,200,57,1280,355,295,475,450,56,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 3+ times a week|I strictly schedule my rest days|I typically rest 4 or more days per month|,,,,
PhillipKniep,6,North Central,31,72,215,65,1118,340,275,550,465,48,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 3+ times a week|I strictly schedule my rest days|I typically rest 4 or more days per month|,,,,
DustySulon,4,Northern California,30,72,185,67,1244,305,260,500,420,46,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 3+ times a week|I strictly schedule my rest days|I typically rest 4 or more days per month|,,,,
MikeAbgarian,8,North East,31,64,157,61,1150,305,230,425,425,81,I workout mostly at a CrossFit Affiliate|I write my own programming|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 3+ times a week|I strictly schedule my rest days|I typically rest 4 or more days per month|,,,,
BradPosnanski,18,North East,43,69,195,68,1139,255,220,445,405,49,"I workout mostly at home, work, or a traditional gym|I have a coach who determines my programming|",I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,I do multiple workouts in a day 3+ times a week|I strictly schedule my rest days|I typically rest 4 or more days per month|,,,,
BubbaHagood,8,North East,49,68,165,80,1396,237,175,425,325,49,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 3+ times a week|I strictly schedule my rest days|I typically rest 4 or more days per month|,,,,
BruceYoung,16,Canada East,50,70,185,76,1301,218,170,425,320,31,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|,I began CrossFit with a coach (e.g. at an affiliate)|I have had a life changing experience due to CrossFit|,I do multiple workouts in a day 3+ times a week|I strictly schedule my rest days|I typically rest 4 or more days per month|,,,,
ArmandMcCormick,12,North Central,32,70,190,58,1195,313,254,518,419,50,I workout mostly at a CrossFit Affiliate|I write my own programming|,I have completed the CrossFit Level 1 certificate course|I train other people|,I do multiple workouts in a day 3+ times a week|I strictly schedule my rest days|I typically rest 4 or more days per month|,,,,
RikardLanner,11,Sweeden,36,73,216,66,1375,331,271,584,509,60,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I write my own programming|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|,I do multiple workouts in a day 3+ times a week|I typically rest 4 or more days per month|,,,,
TonyKurz,8,Mid Atlantic,36,70,209,69,1240,278,222,484,440,30,"I workout mostly at home, work, or a traditional gym|I record my workouts|",I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|,I do multiple workouts in a day 3+ times a week|I typically rest 4 or more days per month|,,,,
MarkZiolkowski,10,North East,47,72,225,63,1311,300,210,500,410,47,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|,I do multiple workouts in a day 3+ times a week|I typically rest 4 or more days per month|,,,,
GuidoTrinidad,7,South East,34,67,187,62,1273,315,245,465,415,63,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 3+ times a week|I typically rest 4 or more days per month|,,,,
MatthewSwift,1,Australia,45,70,187,65,1171,320,254,496,419,40,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I incorporate CrossFit.com workouts|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 3+ times a week|I typically rest 4 or more days per month|,,,,
BillGrundler,2,Southern California,45,72,195,64,1229,285,225,455,400,56,I workout mostly at a CrossFit Affiliate|I write my own programming|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,I do multiple workouts in a day 3+ times a week|I typically rest 4 or more days per month|,,,,
MichaelMoseley,1,South West,41,68,193,59,1220,275,220,455,395,48,I workout mostly at a CrossFit Affiliate|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,I do multiple workouts in a day 3+ times a week|I typically rest 4 or more days per month|,,,,
DennisCole,17,South West,54,70,168,66,1297,225,176,372,280,50,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I train other people|,I do multiple workouts in a day 3+ times a week|I typically rest 4 or more days per month|,,,,
AdrianConway,3,South West,29,70,202,56,1275,345,270,585,475,52,"I workout mostly at a CrossFit Affiliate|I workout mostly at home, work, or a traditional gym|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|",I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I train other people|,I do multiple workouts in a day 3+ times a week|I typically rest 4 or more days per month|,,,,
ChrisBeery,7,Northern California,33,68,180,62,1216,265,205,455,420,77,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have had a life changing experience due to CrossFit|,I do multiple workouts in a day 3+ times a week|I typically rest 4 or more days per month|,,,,
NickBloch,5,North Central,29,72,219,60,1170,365,315,620,545,50,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 3+ times a week|I typically rest 4 or more days per month|,,,,
RussellKapper,18,Australia,54,65,154,70,1200,220,187,386,331,30,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I train other people|,I do multiple workouts in a day 3+ times a week|I typically rest 4 or more days per month|,,,,
RonOrtiz,1,South East,49,75,219,85,1290,285,230,405,390,30,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I have attended one or more specialty courses|I have had a life changing experience due to CrossFit|I train other people|,I do multiple workouts in a day 3+ times a week|I typically rest 4 or more days per month|,,,,
RobbieDavis,5,South West,44,70,185,70,1422,270,210,475,385,40,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I write my own programming|I record my workouts|,I have completed the CrossFit Level 1 certificate course|I train other people|,I do multiple workouts in a day 3+ times a week|I typically rest fewer than 4 days per month|,,,,
CjRusso,12,North East,45,65,162,68,1358,265,215,455,405,48,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I began CrossFit with a coach (e.g. at an affiliate)|I have completed the CrossFit Level 1 certificate course|I have had a life changing experience due to CrossFit|,I strictly schedule my rest days|,,,,
JeffreyLaMonica,14,Southern California,45,71,190,60,1710,195,147,330,270,21,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|,I strictly schedule my rest days|,,,,
BrentMaier,2,South West,43,74,204,58,1320,305,255,515,415,56,"I workout mostly at home, work, or a traditional gym|I have a coach who determines my programming|",I began CrossFit by trying it alone (without a coach)|I have had a life changing experience due to CrossFit|,I strictly schedule my rest days|,,,,
PerrySiplon,11,North Central,49,69,165,66,1313,227,177,460,340,55,I workout mostly at a CrossFit Affiliate|I have a coach who determines my programming|I record my workouts|,I began CrossFit with a coach (e.g. at an affiliate)|,I typically rest 4 or more days per month|,,,,
JeffTincher,2,Mid Atlantic,46,69,185,57,1081,245,190,480,355,43,I workout mostly at a CrossFit Affiliate|I incorporate CrossFit.com workouts|I write my own programming|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,I usually only do 1 workout a day|,,,,
ZackBayag,6,South East,44,69,174,62,1320,215,175,335,335,65,I workout mostly at a CrossFit Affiliate|I record my workouts|,I began CrossFit by trying it alone (without a coach)|I have completed the CrossFit Level 1 certificate course|I have attended one or more specialty courses|I train other people|,I usually only do 1 workout a day|,,,,
